,time,power,device_id_x,location_specific,co2,device_id_y
47,2024-08-01T07:50:00Z,13.690915890038013,ELEUV0202SM1Jb,241 Olsson,527.1166666666667,70886b123039
48,2024-08-01T08:00:00Z,13.743270561099052,ELEUV0202SM1Jb,241 Olsson,528.0847457627119,70886b123039
49,2024-08-01T08:10:00Z,13.271767646074295,ELEUV0202SM1Jb,241 Olsson,531.9166666666666,70886b123039
50,2024-08-01T08:20:00Z,13.58924861997366,ELEUV0202SM1Jb,241 Olsson,533.95,70886b123039
51,2024-08-01T08:30:00Z,13.255817536264658,ELEUV0202SM1Jb,241 Olsson,531.65,70886b123039
52,2024-08-01T08:40:00Z,13.204665761440992,ELEUV0202SM1Jb,241 Olsson,528.1166666666667,70886b123039
53,2024-08-01T08:50:00Z,13.464601710438728,ELEUV0202SM1Jb,241 Olsson,529.1833333333333,70886b123039
54,2024-08-01T09:00:00Z,13.515832833945751,ELEUV0202SM1Jb,241 Olsson,523.6779661016949,70886b123039
55,2024-08-01T09:10:00Z,13.8003621250391,ELEUV0202SM1Jb,241 Olsson,524.6,70886b123039
56,2024-08-01T09:20:00Z,13.774427864700556,ELEUV0202SM1Jb,241 Olsson,526.0166666666667,70886b123039
57,2024-08-01T09:30:00Z,13.502521067857742,ELEUV0202SM1Jb,241 Olsson,524.2833333333333,70886b123039
58,2024-08-01T09:40:00Z,13.46989180892706,ELEUV0202SM1Jb,241 Olsson,524.1,70886b123039
59,2024-08-01T09:50:00Z,13.544068671762943,ELEUV0202SM1Jb,241 Olsson,525.5762711864406,70886b123039
60,2024-08-01T10:00:00Z,13.544068671762943,ELEUV0202SM1Jb,241 Olsson,525.1333333333333,70886b123039
61,2024-08-01T10:10:00Z,13.793528079986572,ELEUV0202SM1Jb,241 Olsson,531.9333333333333,70886b123039
62,2024-08-01T10:20:00Z,13.681154139339924,ELEUV0202SM1Jb,241 Olsson,527.1833333333333,70886b123039
63,2024-08-01T10:30:00Z,13.429020810872316,ELEUV0202SM1Jb,241 Olsson,529.5333333333333,70886b123039
64,2024-08-01T10:40:00Z,13.728308225316662,ELEUV0202SM1Jb,241 Olsson,530.2033898305085,70886b123039
65,2024-08-01T10:50:00Z,13.728308225316662,ELEUV0202SM1Jb,241 Olsson,527.0666666666667,70886b123039
66,2024-08-01T11:00:00Z,13.728308225316662,ELEUV0202SM1Jb,241 Olsson,530.2666666666667,70886b123039
67,2024-08-01T11:10:00Z,14.231463894248009,ELEUV0202SM1Jb,241 Olsson,531.6,70886b123039
68,2024-08-01T11:20:00Z,14.13213787600398,ELEUV0202SM1Jb,241 Olsson,528.65,70886b123039
69,2024-08-01T11:30:00Z,14.353258069604635,ELEUV0202SM1Jb,241 Olsson,530.0847457627119,70886b123039
70,2024-08-01T11:40:00Z,14.518801122903824,ELEUV0202SM1Jb,241 Olsson,533.3,70886b123039
71,2024-08-01T11:50:00Z,14.518801122903824,ELEUV0202SM1Jb,241 Olsson,534.7166666666667,70886b123039
72,2024-08-01T12:00:00Z,14.518801122903824,ELEUV0202SM1Jb,241 Olsson,539.25,70886b123039
73,2024-08-01T12:10:00Z,14.202514929430825,ELEUV0202SM1Jb,241 Olsson,542.9833333333333,70886b123039
74,2024-08-01T12:20:00Z,13.92212612554431,ELEUV0202SM1Jb,241 Olsson,541.7627118644068,70886b123039
75,2024-08-01T12:30:00Z,14.28993884474039,ELEUV0202SM1Jb,241 Olsson,539.45,70886b123039
76,2024-08-01T12:40:00Z,14.167331997305155,ELEUV0202SM1Jb,241 Olsson,535.0166666666667,70886b123039
77,2024-08-01T12:50:00Z,14.189782552421093,ELEUV0202SM1Jb,241 Olsson,526.9666666666667,70886b123039
78,2024-08-01T13:00:00Z,14.189782552421093,ELEUV0202SM1Jb,241 Olsson,522.0166666666667,70886b123039
79,2024-08-01T13:10:00Z,13.703555179138979,ELEUV0202SM1Jb,241 Olsson,514.2203389830509,70886b123039
80,2024-08-01T13:20:00Z,14.12657629698515,ELEUV0202SM1Jb,241 Olsson,506.31666666666666,70886b123039
81,2024-08-01T13:30:00Z,14.016986358910799,ELEUV0202SM1Jb,241 Olsson,500.01666666666665,70886b123039
82,2024-08-01T13:40:00Z,14.13012140740951,ELEUV0202SM1Jb,241 Olsson,487.43333333333334,70886b123039
83,2024-08-01T13:50:00Z,14.13012140740951,ELEUV0202SM1Jb,241 Olsson,472.15,70886b123039
84,2024-08-01T14:00:00Z,14.13012140740951,ELEUV0202SM1Jb,241 Olsson,463.47457627118644,70886b123039
85,2024-08-01T14:10:00Z,13.889155816286802,ELEUV0202SM1Jb,241 Olsson,454.21666666666664,70886b123039
86,2024-08-01T14:20:00Z,14.353447873145342,ELEUV0202SM1Jb,241 Olsson,449.73333333333335,70886b123039
87,2024-08-01T14:30:00Z,14.107314683496952,ELEUV0202SM1Jb,241 Olsson,447.8333333333333,70886b123039
88,2024-08-01T14:40:00Z,14.086795970797539,ELEUV0202SM1Jb,241 Olsson,465.51666666666665,70886b123039
89,2024-08-01T14:50:00Z,14.086795970797539,ELEUV0202SM1Jb,241 Olsson,472.98333333333335,70886b123039
90,2024-08-01T15:00:00Z,14.086795970797539,ELEUV0202SM1Jb,241 Olsson,473.864406779661,70886b123039
91,2024-08-01T15:10:00Z,65.90658674637477,ELEUV0202SM1Jb,241 Olsson,469.21666666666664,70886b123039
92,2024-08-01T15:20:00Z,67.74923503398895,ELEUV0202SM1Jb,241 Olsson,447.4166666666667,70886b123039
93,2024-08-01T15:30:00Z,34.93658322840929,ELEUV0202SM1Jb,241 Olsson,440.93333333333334,70886b123039
94,2024-08-01T15:40:00Z,30.701397731900215,ELEUV0202SM1Jb,241 Olsson,440.3,70886b123039
95,2024-08-01T15:50:00Z,25.36049751298768,ELEUV0202SM1Jb,241 Olsson,441.6271186440678,70886b123039
96,2024-08-01T16:00:00Z,33.22277357801795,ELEUV0202SM1Jb,241 Olsson,441.59322033898303,70886b123039
97,2024-08-01T16:10:00Z,68.90961341559887,ELEUV0202SM1Jb,241 Olsson,462.0833333333333,70886b123039
98,2024-08-01T16:20:00Z,85.25985181331635,ELEUV0202SM1Jb,241 Olsson,484.78333333333336,70886b123039
99,2024-08-01T16:30:00Z,79.01032269001007,ELEUV0202SM1Jb,241 Olsson,489.81666666666666,70886b123039
